Nakshatra,Value
Ashwini,Chu
Ashwini,Che
Ashwini,Cho
Ashwini,La
Bharani,Li
Bharani,Lu
Bharani,Le
Bharani,Lo
Krittika,A
Krittika,Ee
Krittika,U
Krittika,Ae
Rohini,O
Rohini,Va
Rohini,Vi
Rohini,Vu
Mrigashira,Ve
Mrigashira,Vo
Mrigashira,Ka
Mrigashira,Ki
Ardra,Ku
Ardra,Gha
Ardra,Nga
Ardra,Chha
Punarvasu,Ke
Punarvasu,Ko
Punarvasu,Ha
Punarvasu,Hi
Pushya,Hu
Pushya,He
Pushya,Ho
Pushya,Da
Ashlesha,De
Ashlesha,Doo
Ashlesha,De
Ashlesha,Daw
Magha,Ma
Magha,Mi
Magha,Mu
Magha,Me
Purva Phalguni,Mo
Purva Phalguni,Ta
Purva Phalguni,Ti
Purva Phalguni,Tu
Uttara Phalguni,Te
Uttara Phalguni,To
Uttara Phalguni,Pa
Uttara Phalguni,Pi
Hasta,Pu
Hasta,Sha
Hasta,Na
Hasta,Tha
Chitra,Pe
Chitra,Po
Chitra,Ra
Chitra,Ri
Swati,Ru
Swati,Re
Swati,Ro
Swati,Ta
Vishakha,Ti
Vishakha,Tu
Vishakha,Te
Vishakha,To
Anuradha,Na
Anuradha,Ni
Anuradha,Nu
Anuradha,Ne
Jyeshtha,No
Jyeshtha,Ya
Jyeshtha,Yi
Jyeshtha,Yu
Mula,Ye
Mula,Yo
Mula,Bha
Mula,Bhi
Purva Ashadha,Bhu
Purva Ashadha,Dha
Purva Ashadha,Pha
Purva Ashadha,Dha
Uttara Ashadha,Bhe
Uttara Ashadha,Bho
Uttara Ashadha,Ja
Uttara Ashadha,Ji
Shravana,Khi
Shravana,Khu
Shravana,Khe
Shravana,Kho
Dhanishta,Ga
Dhanishta,Gi
Dhanishta,Gu
Dhanishta,Ge
Shatabhisha,Go
Shatabhisha,Sa
Shatabhisha,Si
Shatabhisha,Su
Purva Bhadrapada,Se
Purva Bhadrapada,So
Purva Bhadrapada,Da
Purva Bhadrapada,Di
Uttara Bhadrapada,Du
Uttara Bhadrapada,Tha
Uttara Bhadrapada,Jha
Uttara Bhadrapada,Na
Revati,De
Revati,Do
Revati,Cha
Revati,Chi
